Provinsi,Universitas,Institut,Sekolah Tinggi,Akademi,Akademi Komunitas,Politeknik,Jumlah
D.K.I. Jakarta,56,17,119,117,1,10,320
Jawa Barat,53,12,198,100,3,31,397
Banten,19,1,67,29,0,6,122
Jawa Tengah,50,4,93,103,2,28,280
D.I. Yogyakarta,25,6,34,37,1,7,110
Jawa Timur,94,17,137,67,3,19,337
Aceh,14,1,49,48,1,5,118
Sumatera Utara,37,9,102,111,0,17,276
Sumatera Barat,14,2,52,34,0,3,105
Riau,9,0,40,28,0,3,80
Kepulauan Riau,7,1,18,5,0,2,33
Jambi,4,0,21,15,0,1,41
Sumatera Selatan,15,0,54,29,0,8,106
Bangka Belitung,1,0,9,5,1,2,18
Bengkulu,5,0,6,5,1,1,18
Lampung,11,2,39,30,0,2,84
Kalimantan Barat,5,1,19,18,0,5,48
Kalimantan Tengah,6,0,14,2,0,2,24
Kalimantan Selatan,5,0,20,17,0,7,49
Kalimantan Timur,10,2,24,12,1,7,56
Kalimantan Utara,1,0,2,3,0,2,8
Sulawesi Utara,11,1,25,14,0,2,53
Gorontalo,5,0,7,1,0,1,14
Sulawesi Tengah,8,0,17,9,0,1,35
Sulawesi Selatan,22,2,110,73,1,5,213
Sulawesi Barat,3,0,10,4,0,0,17
Sulawesi Tenggara,8,1,13,14,0,3,39
Maluku,4,0,21,3,0,2,30
Maluku Utara,7,0,5,3,0,3,18
Bali,14,4,31,12,1,5,67
Nusa Tenggara Barat,14,3,30,7,1,1,56
Nusa Tenggara Timur,14,2,28,8,0,4,56
Papua,7,2,23,9,1,2,44
Papua Barat,5,1,12,1,0,2,21
Indonesia,563,91,1449,973,18,199,3293
