Provinsi,Negeri_2012/2013,Swasta_2012/2013,Jumlah_2012/2013,Negeri_2013/2014,Swasta_2013/2014,Jumlah_2013/2014,Negeri_2014/2015,Swasta_2014/2015,Jumlah_2014/2015,Negeri_2015/2016,Swasta_2015/2016,Jumlah_2015/2016,Negeri_2016/2017,Swasta_2016/2017,Jumlah_2016/2017,Negeri_2017/2018,Swasta_2017/2018,Jumlah_2017/2018
D.K.I. Jakarta,5,330,335,5,329,334,5,317,322,5,317,322,5,318,323,5,315,320
Jawa Barat,7,391,398,7,393,400,12,377,389,12,380,392,12,380,392,12,385,397
Banten,1,105,106,1,113,114,1,114,115,1,116,117,1,118,119,1,121,122
Jawa Tengah,7,245,252,7,265,272,9,248,257,9,253,262,9,256,265,9,271,280
D.I. Yogyakarta,3,117,120,3,124,127,4,106,110,4,107,111,4,108,112,4,106,110
Jawa Timur,13,326,339,15,363,378,17,326,343,17,329,346,17,328,345,17,320,337
Aceh,3,102,105,3,99,102,7,109,116,7,108,115,7,108,115,7,111,118
Sumatera Utara,3,255,258,3,259,262,3,266,269,3,270,273,3,267,270,3,273,276
Sumatera Barat,5,109,114,5,102,107,5,102,107,5,102,107,5,102,107,5,100,105
Riau,2,76,78,2,75,77,2,76,78,2,76,78,2,77,79,2,78,80
Kepulauan Riau,2,24,26,2,26,28,2,30,32,2,31,33,2,31,33,2,31,33
Jambi,1,39,40,1,42,43,1,39,40,1,39,40,1,39,40,1,40,41
Sumatera Selatan,2,110,112,2,115,117,2,105,107,2,105,107,2,104,106,2,104,106
Bangka Belitung,2,12,14,2,12,14,2,15,17,2,16,18,2,16,18,2,16,18
Bengkulu,1,16,17,1,16,17,1,16,17,1,18,19,1,18,19,2,16,18
Lampung,2,73,75,2,80,82,3,79,82,3,79,82,3,77,80,3,81,84
Kalimantan Barat,2,42,44,3,42,45,4,43,47,4,44,48,4,44,48,4,44,48
Kalimantan Tengah,1,22,23,1,23,24,1,22,23,1,22,23,1,22,23,1,23,24
Kalimantan Selatan,2,44,46,2,47,49,3,46,49,3,45,48,3,46,49,3,46,49
Kalimantan Timur,5,59,64,5,60,65,6,54,60,5,51,56,5,50,55,5,51,56
Kalimantan Utara,0,0,0,0,0,0,0,0,0,1,5,6,1,5,6,1,7,8
Sulawesi Utara,4,50,54,4,44,48,4,50,54,4,52,56,4,52,56,4,49,53
Gorontalo,1,11,12,1,11,12,1,13,14,1,13,14,1,13,14,1,13,14
Sulawesi Tengah,1,31,32,1,33,34,1,34,35,1,35,36,1,35,36,1,34,35
Sulawesi Selatan,4,213,217,4,208,212,5,211,216,5,212,217,5,213,218,4,209,213
Sulawesi Barat,0,13,13,0,12,12,1,16,17,1,17,18,1,17,18,1,16,17
Sulawesi Tenggara,1,38,39,1,38,39,2,39,41,2,39,41,2,38,40,2,37,39
Maluku,3,25,28,3,23,26,3,27,30,3,27,30,3,27,30,3,27,30
Maluku Utara,1,16,17,1,16,17,1,17,18,1,17,18,1,17,18,1,17,18
Bali,4,54,58,4,58,62,4,59,63,4,61,65,4,61,65,4,63,67
Nusa Tenggara Barat,1,48,49,1,55,56,1,55,56,1,54,55,1,54,55,1,55,56
Nusa Tenggara Timur,3,38,41,3,43,46,4,51,55,4,52,56,4,52,56,4,52,56
Papua,2,42,44,2,39,41,3,43,46,3,42,45,3,42,45,3,41,44
Papua Barat,2,17,19,2,16,18,2,19,21,2,19,21,2,19,21,2,19,21
Indonesia,96,3093,3189,99,3181,328,122,3124,3246,122,3153,3275,122,3154,3276,122,3171,3293
