Provinsi,A,B,C,Semua Akreditasi
Aceh,1,6,14,21
Bali,2,18,14,34
Kep. Bangka Belitung,0,0,8,8
Banten,2,14,30,46
Bengkulu,0,5,10,15
Gorontalo,1,3,4,8
Papua Barat,0,1,7,8
DKI Jakarta,9,51,42,102
Jambi,0,5,17,22
Jawa Barat,9,51,97,157
Jawa Tengah,8,64,36,108
Jawa Timur,14,72,119,205
Kalimantan Barat,0,9,15,24
Kalimantan Selatan,0,9,21,30
Kalimantan Tengah,0,2,9,11
Kalimantan Timur,1,13,18,32
Kalimantan Utara,0,1,1,2
Kep. Riau,0,8,7,15
Lampung,1,14,18,33
Maluku Utara,0,3,8,11
Maluku,0,3,3,6
Nusa Tenggara Barat,0,7,17,24
Nusa Tenggara Timur,0,8,9,17
Papua,0,4,13,17
Riau,1,11,28,40
Sulawesi Barat,0,0,7,7
Sulawesi Selatan,2,22,72,96
Sulawesi Tengah,0,2,17,19
Sulawesi Tenggara,0,1,19,20
Sulawesi Utara,1,6,13,20
Sumatera Barat,2,24,33,59
Sumatera Selatan,1,14,37,52
Sumatera Utara,2,39,39,80
DI Yogyakarta,9,34,11,54
