Provinsi,Biaya Pendidikan Perguruan Tinggi
Aceh,9.2
Bali,18.6
Kep. Bangka Belitung,12.4
Banten,22.3
Bengkulu,11.4
Gorontalo,8.6
Papua Barat,7
DKI Jakarta,20.7
Jambi,10.8
Jawa Barat,20.2
Jawa Tengah,14.5
Jawa Timur,14.5
Kalimantan Barat,12.7
Kalimantan Selatan,15.5
Kalimantan Tengah,13.5
Kalimantan Timur,15
Kalimantan Utara,8.8
Kep. Riau,15.3
Lampung,10.5
Maluku Utara,7
Maluku,9.4
Nusa Tenggara Barat,9.1
Nusa Tenggara Timur,9.1
Papua,12.8
Riau,11.6
Sulawesi Barat,6.6
Sulawesi Selatan,20.5
Sulawesi Tengah,9.1
Sulawesi Tenggara,7.1
Sulawesi Utara,12.5
Sumatera Barat,11.5
Sumatera Selatan,14.8
Sumatera Utara,12.7
DI Yogyakarta,18.6
Rerata Nasional,15.3
