Provinsi,Universitas,Institut,Sekolah Tinggi,Akademi,Akademi Komunitas,Politeknik,Semua Bentuk Pendidikan
Aceh,5687,49,1411,672,7,480,8306
Bali,3906,491,1367,180,15,546,6505
Kep. Bangka Belitung,181,0,313,91,6,73,664
Banten,6222,119,2082,546,0,197,9166
Bengkulu,1732,0,262,123,0,66,2183
Gorontalo,1417,0,251,8,0,43,1719
Papua Barat,1095,7,335,8,0,80,1525
DKI Jakarta,18851,1909,4819,1934,0,563,28076
Jambi,1376,0,785,263,0,29,2453
Jawa Barat,16251,3768,7406,1734,6,2537,31702
Jawa Tengah,13778,413,3087,1348,4,1213,19843
Jawa Timur,22127,231,5157,931,38,1613,30097
Kalimantan Barat,1308,218,633,331,0,462,2952
Kalimantan Selatan,2023,0,1057,377,0,393,3850
Kalimantan Tengah,1303,0,404,36,0,40,1783
Kalimantan Timur,2303,163,769,214,3,518,3970
Kalimantan Utara,267,0,70,50,0,63,450
Kep. Riau,1009,1,542,60,0,194,1806
Lampung,3033,400,1104,457,0,230,5224
Maluku Utara,1366,0,366,53,0,117,1902
Maluku,1596,0,563,55,0,332,2546
Nusa Tenggara Barat,2874,284,1316,113,5,51,4643
Nusa Tenggara Timur,2727,180,807,121,0,398,4233
Papua,1574,93,628,170,0,73,2538
Riau,2897,0,1097,400,0,265,4659
Sulawesi Barat,598,0,377,26,0,0,1001
Sulawesi Selatan,6936,20,4397,1188,0,628,13169
Sulawesi Tengah,2624,0,581,188,0,30,3423
Sulawesi Tenggara,2599,131,455,248,0,145,3578
Sulawesi Utara,347,63,578,211,0,361,1560
Sumatera Barat,4472,324,1911,442,0,472,7621
Sumatera Selatan,3895,0,1785,444,0,529,6653
Sumatera Utara,8935,849,3203,1655,0,888,15530
DI Yogyakarta,9686,671,1458,493,5,187,12500
