,X,REGION,LAT,LONG,NAMA_UNIV,KODE,PROGRAM_STUDI,DAYA_TAMPUNG_2020,PEMINAT_2019,JENIS_PORTOFOLIO,nama_prodi,rumpun,DAYA_TAMPUNG_2019,jumlah_peminat_2018,jumlah_peminat_2017,daya_tampung_2018,daya_tampung_2017
1,1,.SEMUA REGION,NA,NA,.SEMUA UNIV,NA,.SEMUA PRODI,NA,NA,,NA,NA,NA,NA,NA,NA,NA
2,2,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111014,PENDIDIKAN DOKTER HEWAN,109,712,Tidak Ada,PENDIDIKAN DOKTER HEWAN,Saintek,91,921,913,96,88
3,3,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111022,TEKNIK SIPIL,82,753,Tidak Ada,TEKNIK SIPIL,Saintek,66,1567,1686,62,64
4,4,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111037,TEKNIK MESIN,69,292,Tidak Ada,TEKNIK MESIN,Saintek,53,621,648,48,48
5,5,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111045,TEKNIK KIMIA,69,296,Tidak Ada,TEKNIK KIMIA,Saintek,49,322,371,47,48
6,6,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111053,ARSITEKTUR,69,487,Tidak Ada,ARSITEKTUR,Saintek,49,761,809,44,48
7,7,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111061,TEKNIK ELEKTRO,69,357,Tidak Ada,TEKNIK ELEKTRO,Saintek,51,707,774,55,48
8,8,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111076,AGROTEKNOLOGI,59,404,Tidak Ada,AGROTEKNOLOGI,Saintek,50,649,609,53,48
9,9,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111084,AGRIBISNIS,59,513,Tidak Ada,AGRIBISNIS,Saintek,51,1096,1083,40,40
10,10,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111092,PETERNAKAN,69,275,Tidak Ada,PETERNAKAN,Saintek,52,426,361,44,40
11,11,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111103,TEKNOLOGI HASIL PERTANIAN,59,301,Tidak Ada,TEKNOLOGI HASIL PERTANIAN,Saintek,53,480,438,44,40
12,12,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111111,TEKNIK PERTANIAN,59,342,Tidak Ada,TEKNIK PERTANIAN,Saintek,45,741,703,45,40
13,13,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111126,PENDIDIKAN BIOLOGI,59,548,Tidak Ada,PENDIDIKAN BIOLOGI,Saintek,50,534,636,40,36
14,14,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111134,PENDIDIKAN MATEMATIKA,59,410,Tidak Ada,PENDIDIKAN MATEMATIKA,Saintek,49,422,424,41,36
15,15,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111142,PENDIDIKAN FISIKA,50,238,Tidak Ada,PENDIDIKAN FISIKA,Saintek,39,188,154,31,36
16,16,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111157,PENDIDIKAN KIMIA,50,239,Tidak Ada,PENDIDIKAN KIMIA,Saintek,43,233,216,32,36
17,17,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111165,PENDIDIKAN DOKTER,81,1116,Tidak Ada,PENDIDIKAN DOKTER,Saintek,61,2624,2352,62,56
18,18,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111173,ILMU KEPERAWATAN,79,827,Tidak Ada,ILMU KEPERAWATAN,Saintek,62,1544,1473,64,60
19,19,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111181,PENDIDIKAN DOKTER GIGI,36,862,Tidak Ada,PENDIDIKAN DOKTER GIGI,Saintek,24,1495,1474,24,24
20,20,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111196,MATEMATIKA,50,188,Tidak Ada,MATEMATIKA,Saintek,39,207,220,24,24
21,21,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111207,FISIKA,50,172,Tidak Ada,FISIKA,Saintek,36,96,90,25,24
22,22,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111215,KIMIA,50,192,Tidak Ada,KIMIA,Saintek,37,157,164,24,24
23,23,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111223,BIOLOGI,50,289,Tidak Ada,BIOLOGI,Saintek,37,382,317,26,24
24,24,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111231,ILMU KELAUTAN,89,281,Tidak Ada,ILMU KELAUTAN,Saintek,84,411,344,69,28
25,25,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111246,BUDIDAYA PERAIRAN,89,290,Tidak Ada,BUDIDAYA PERAIRAN,Saintek,82,294,238,67,28
26,26,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111254,TEKNIK INDUSTRI,59,428,Tidak Ada,TEKNIK INDUSTRI,Saintek,49,581,539,43,24
27,27,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111262,INFORMATIKA,46,921,Tidak Ada,INFORMATIKA,Saintek,36,1904,1858,32,32
28,28,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111277,FARMASI,27,1236,Tidak Ada,FARMASI,Saintek,24,1994,1951,18,18
29,29,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111285,TEKNIK GEOFISIKA,40,257,Tidak Ada,TEKNIK GEOFISIKA,Saintek,33,267,191,33,24
30,30,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111293,TEKNIK PERTAMBANGAN,40,359,Tidak Ada,TEKNIK PERTAMBANGAN,Saintek,24,731,662,27,24
31,31,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111304,STATISTIKA,50,566,Tidak Ada,STATISTIKA,Saintek,24,386,350,20,20
32,32,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111312,PEMANFAATAN SUMBERDAYA PERIKANAN,89,218,Tidak Ada,PEMANFAATAN SUMBERDAYA PERIKANAN,Saintek,78,242,217,69,30
33,33,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111327,ILMU TANAH,40,245,Tidak Ada,ILMU TANAH,Saintek,34,334,263,38,32
34,34,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111335,TEKNIK GEOLOGI,40,211,Tidak Ada,TEKNIK GEOLOGI,Saintek,25,153,145,19,16
35,35,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111343,AGROTEKNOLOGI (PSDKU GAYO LUES),24,42,Tidak Ada,AGROTEKNOLOGI (PSDKU GAYO LUES),Saintek,25,69,102,31,24
36,36,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111351,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),20,35,Tidak Ada,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),Saintek,25,25,32,17,24
37,37,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111366,KEHUTANAN (PSDKU GAYO LUES),24,38,Tidak Ada,KEHUTANAN (PSDKU GAYO LUES),Saintek,19,95,122,28,24
38,38,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111374,PROTEKSI TANAMAN,40,139,Tidak Ada,PROTEKSI TANAMAN,Saintek,35,192,131,25,20
39,39,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111382,PERENCANAAN WILAYAH DAN KOTA,30,424,Tidak Ada,PERENCANAAN WILAYAH DAN KOTA,Saintek,24,551,633,20,16
40,40,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111397,KEHUTANAN,40,224,Tidak Ada,KEHUTANAN,Saintek,37,246,193,26,20
41,41,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111401,TEKNIK KOMPUTER,50,580,Tidak Ada,TEKNIK KOMPUTER,Saintek,42,1385,1144,36,16
42,42,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112017,EKONOMI PEMBANGUNAN,79,613,Tidak Ada,EKONOMI PEMBANGUNAN,Soshum,80,885,960,53,32
43,43,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112025,MANAJEMEN,99,938,Tidak Ada,MANAJEMEN,Soshum,66,2314,2468,49,36
44,44,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112033,AKUNTANSI,79,590,Tidak Ada,AKUNTANSI,Soshum,66,1483,1767,49,36
45,45,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112041,ILMU HUKUM,198,1114,Tidak Ada,ILMU HUKUM,Soshum,178,2200,2083,176,140
46,46,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112056,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,50,210,Tidak Ada,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Soshum,37,301,308,31,28
47,47,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112064,PENDIDIKAN SEJARAH,50,283,Tidak Ada,PENDIDIKAN SEJARAH,Soshum,38,325,310,31,28
48,48,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112072,PENDIDIKAN EKONOMI,50,258,Tidak Ada,PENDIDIKAN EKONOMI,Soshum,42,262,335,32,28
49,49,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112087,PENDIDIKAN GEOGRAFI,50,252,Tidak Ada,PENDIDIKAN GEOGRAFI,Soshum,38,368,372,31,28
50,50,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112095,PENDIDIKAN BAHASA INDONESIA,44,234,Tidak Ada,PENDIDIKAN BAHASA DAN  SASTRA INDONESIA,Soshum,38,619,672,35,36
51,51,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112106,PENDIDIKAN BAHASA INGGRIS,59,339,Tidak Ada,PENDIDIKAN BAHASA INGGRIS,Soshum,49,871,917,45,36
52,52,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112114,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,59,40,Sendratasik,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,Soshum,61,312,334,28,20
53,53,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112122,PENDIDIKAN KESEJAHTERAAN KELUARGA,50,351,Tidak Ada,PENDIDIKAN KESEJAHTERAAN KELUARGA,Soshum,43,546,432,32,28
54,54,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112137,PEND. JASMANI KESEHATAN DAN REKREASI,59,57,Pendidikan Jasmani dan Olahraga,PEND. JASMANI KESEHATAN DAN REKREASI,Soshum,72,633,700,59,48
55,55,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112145,BIMBINGAN KONSELING,50,315,Tidak Ada,BIMBINGAN KONSELING,Soshum,46,612,516,32,28
56,56,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112153,PENDIDIKAN GURU SEKOLAH DASAR,59,502,Tidak Ada,PENDIDIKAN GURU SEKOLAH DASAR,Soshum,52,845,791,38,48
57,57,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112161,PSIKOLOGI,50,394,Tidak Ada,PSIKOLOGI,Soshum,35,972,814,21,20
58,58,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112176,ILMU POLITIK,69,335,Tidak Ada,ILMU POLITIK,Soshum,56,548,543,61,32
59,59,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112184,SOSIOLOGI,69,399,Tidak Ada,SOSIOLOGI,Soshum,51,390,407,60,32
60,60,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112192,ILMU KOMUNIKASI,69,595,Tidak Ada,ILMU KOMUNIKASI,Soshum,50,1063,943,55,32
61,61,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112203,PENDIDIKAN GURU PAUD,50,241,Tidak Ada,PENDIDIKAN GURU PAUD,Soshum,40,564,465,33,28
62,62,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112211,ILMU PEMERINTAHAN,69,408,Tidak Ada,ILMU PEMERINTAHAN,Soshum,57,640,576,55,32
63,63,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112226,EKONOMI ISLAM,69,407,Tidak Ada,EKONOMI ISLAM,Soshum,49,1107,1007,33,32
