Provinsi,Lembaga,Program Studi,Mahasiswa_Baru,Mahasiswa_Terdaftar,Lulusan,Dosen,Putus_Kuliah,Persentase_Putus_Kuliah
DKI Jakarta,424,2400,286205,1348156,196705,31017,49698,3.69
Jawa Barat,581,3334,209555,937711,162111,36755,25758,2.75
Banten,165,807,64985,278457,36983,10282,11240,4.04
Jawa Tengah,378,2498,153864,662540,111038,23417,12635,1.91
DI Yogyakarta,138,1218,88934,409984,68714,13688,9606,2.34
Jawa Timur,544,4046,228702,1033617,167996,38491,29289,2.83
Aceh,169,901,37117,192581,27459,10400,6585,3.42
Sumatera Utara,385,1770,94300,466592,73784,17984,22859,4.90
Sumatera Barat,136,934,49717,215943,39260,8934,1856,0.86
Riau,111,566,35785,173079,27535,6114,17708,10.23
Kepulauan Riau,59,252,10328,50020,7705,2159,5561,11.12
Jambi,66,395,19718,90516,12594,3649,3070,3.39
Sumatera Selatan,138,698,38102,167495,31288,7722,4265,2.55
Bangka Belitung,23,87,3613,17014,2231,842,647,3.80
Bengkulu,27,275,14233,65200,9419,2663,1094,1.68
Lampung,124,711,35537,155079,23802,6453,2629,1.70
Kalimantan Barat,80,378,21781,103099,15666,3581,4549,4.41
Kalimantan Tengah,38,236,8646,39259,5632,2217,743,1.89
Kalimantan Selatan,68,399,25648,104546,18575,4650,4898,4.69
Kalimantan Timur,79,414,19331,105147,14186,4440,2813,2.68
Kalimantan Utara,10,42,2560,10670,1387,457,134,1.26
Sulawesi Utara,91,486,20695,103439,13883,5177,1541,1.49
Gorontalo,16,204,10955,51743,6267,1980,146,0.28
Sulawesi Tengah,53,281,19851,98143,11381,3854,756,0.77
Sulawesi Selatan,265,1443,84851,412211,67696,15600,4727,1.15
Sulawesi Barat,28,111,5775,27397,3611,1198,520,1.90
Sulawesi Tenggara,53,352,21011,112583,11639,3966,719,0.64
Maluku,43,284,10463,53133,8299,2949,1818,3.42
Maluku Utara,26,222,8196,47448,4168,2141,506,1.07
Bali,80,549,28755,143046,21455,7044,2539,1.77
Nusa Tenggara Barat,89,512,23557,113082,16788,5583,3437,3.04
Nusa Tenggara Timur,75,433,25802,121135,15101,4670,2092,1.73
Papua,73,343,16456,90963,8116,2989,6335,6.96
Papua Barat,35,198,7250,42452,4642,1754,3037,7.15
Indonesia,4670,27779,1732278,8043480,1247116,294820,245810,3.06
