Provinsi,Akreditasi_A,Akreditasi_B,Akreditasi_C,
DKI Jakarta,11,56,51,118
Jawa Barat,10,58,119,187
Banten,2,18,34,54
Jawa Tengah,8,73,55,136
DI Yogyakarta,10,41,13,64
Jawa Timur,16,99,170,285
Aceh,1,7,23,31
Sumatera Utara,2,45,62,109
Sumatera Barat,2,27,46,75
Riau,1,15,43,59
Kepulauan Riau,0,9,14,23
Jambi,0,6,24,30
Sumatera Selatan,1,18,42,61
Bangka Belitung,0,0,9,9
Bengkulu,1,7,15,23
Lampung,1,18,27,46
Kalimantan Barat,0,9,16,25
Kalimantan Tengah,0,2,11,13
Kalimantan Selatan,0,14,26,40
Kalimantan Timur,1,18,20,39
Kalimantan Utara,0,1,1,2
Sulawesi Utara,1,6,17,24
Gorontalo,1,5,4,10
Sulawesi Tengah,0,2,19,21
Sulawesi Selatan,2,25,82,109
Sulawesi Barat,0,1,10,11
Sulawesi Tenggara,0,4,27,31
Maluku,0,4,3,7
Maluku Utara,0,3,8,11
Bali,2,19,17,38
Nusa Tenggara Barat,0,12,21,33
Nusa Tenggara Timur,0,8,11,19
Papua,0,4,19,23
Papua Barat,0,2,9,11
