"","kode_ptn","Nama.PT","No.","Kode.PT","Kualitas.SDM","Kualitas.Manajemen","Kualitas.Keg.Mahasiswa","Kualitas.Penelitian...Publikasi","Skor.Total","Peringkat","Cluster"
"1",111,"UNIVERSITAS SYIAH KUALA",61,1011,3.48,1.7,0.1,1.6,2.049,61,2
"2",112,"UNIVERSITAS MALIKUSSALEH",360,1046,2.85,1.2,0,0.4,1.328,360,3
"3",113,"UNIVERSITAS TEUKU UMAR",2892,1058,0,0,0,0.4,0.123,2892,4
"4",114,"UNIVERSITAS SAMUDRA",1579,1053,1.41,0.4,0,0.1,0.582,1579,4
"5",115,"ISBI ACEH",3046,2011,0,0,0,0,0,3046,5
"6",116,"UNIVERSITAS ISLAM NEGERI AR-RANIRY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",121,"UNIVERSITAS SUMATERA UTARA",38,1003,3.54,2.9,0.4,1.1,2.301,38,2
"8",122,"UNIVERSITAS NEGERI MEDAN",29,1040,3.55,3.1,0.2,1.1,2.353,29,2
"9",123,"UNIVERSITAS ISLAM NEGERI SUMATERA UTARA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",131,"UNIVERSITAS RIAU",20,1017,3.59,3,0.1,1.6,2.477,20,2
"11",132,"UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",133,"UNIVERSITAS MARITIM RAJA ALI HAJI",1471,1052,1.84,0,0,0.2,0.62,1471,4
"13",141,"UNIVERSITAS ANDALAS",12,1006,3.61,3.6,0.2,1.9,2.753,12,2
"14",142,"UNIVERSITAS NEGERI PADANG",88,1032,3.49,1.9,0.1,0.8,1.872,88,3
"15",143,"ISI PADANG PANJANG",263,2009,2.15,2.4,0.1,0.2,1.441,263,3
"16",151,"UNIVERSITAS JAMBI",30,1020,3.58,3.1,0.1,1.2,2.349,30,2
"17",161,"UNIVERSITAS BENGKULU",37,1030,3.72,2.8,0.1,1.1,2.312,37,2
"18",171,"UNIVERSITAS SRIWIJAYA",23,1009,3.28,3.1,0.2,1.6,2.421,23,2
"19",172,"UNIVERSITAS ISLAM NEGERI RADEN FATAH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",181,"UNIVERSITAS BANGKA BELITUNG",770,1049,2.55,0.2,0,0.5,0.954,770,4
"21",191,"UNIVERSITAS LAMPUNG",22,1026,3.6,3.4,0,1.1,2.44,22,2
"22",192,"INSTITUT TEKNOLOGI SUMATERA",3055,2014,0,0,0,0,0,3055,5
